epoch,acc,loss,lr,val_acc,val_loss
0,0.44695384615751416,1.689135456774785,0.001,0.3506666632443666,2.037791998545329
1,0.5738461537654583,1.3492298052127545,0.001,0.4651111117915975,1.6446640973091124
2,0.6387692307398869,1.1667136030417222,0.001,0.48466666437519923,1.715973214175966
3,0.6851076923150282,1.049943654559209,0.001,0.5448888895213604,1.5406029276582929
4,0.7166769231502826,0.9587599553988531,0.001,0.6122222220897675,1.278055464029312
5,0.7360923076629639,0.8947108282015874,0.001,0.6244444472259946,1.2514880527920194
6,0.7607692306885353,0.8353229209166306,0.001,0.6484444450272454,1.2356254750092823
7,0.772584615457975,0.7974511996195867,0.001,0.6171111083825429,1.2888595920403798
8,0.7842769230402433,0.7612388645685636,0.001,0.5686666656666332,1.5909640508227878
9,0.7973846153039199,0.7311965284054096,0.001,0.6813333312405481,1.0763940890894996
10,0.8033846154433031,0.7141933267373305,0.001,0.6248888857828246,1.3086847071382735
11,0.8179999999559843,0.6789887726343595,0.001,0.725333331823349,0.9462288224167293
12,0.8203384614430941,0.6639554080412938,0.001,0.7117777779367235,1.0256325727038913
13,0.824861538358835,0.6433543542128343,0.001,0.6133333337903023,1.540354785627789
14,0.8291076923663799,0.6324759045527532,0.001,0.7097777787314521,0.9826002649201288
15,0.8414769229962276,0.6053774753790635,0.001,0.6922222216924031,1.1345293729835086
16,0.8405230768277094,0.5988891092080336,0.001,0.7468888906637827,0.915822654724121
17,0.8480923077509953,0.5816624109634986,0.001,0.7082222200367185,1.0710706446303262
18,0.8511076923297002,0.57444544137808,0.001,0.7219999995231628,1.0510998582707511
19,0.8537230770184444,0.5640421244841356,0.001,0.7753333333068424,0.8202527791923947
20,0.8598153846373925,0.5464089271985567,0.001,0.7340000000794729,0.9658642350302802
21,0.8629538460658147,0.5407110880998465,0.001,0.6982222246196534,1.1638233931991788
22,0.866615384703416,0.5236488133943998,0.001,0.7239999997085995,1.0354867716497844
23,0.8668615385128902,0.5237203372551845,0.001,0.6459999986224705,1.3607421624660492
24,0.8727692306811993,0.5116010044904855,0.001,0.806888887140486,0.7176466442743937
25,0.8719076922563406,0.5101954563801105,0.001,0.738666664203008,0.9522871756023831
