epoch,acc,loss,lr,val_acc,val_loss
0,0.4639999999559843,1.6832574151259203,0.001,0.39399999950908954,1.9655467808511522
1,0.5883692306811993,1.2999928726489727,0.0009938441,0.4713333318034808,1.6269412211047278
2,0.6531692308572622,1.1307223249435425,0.00097552827,0.3766666661310527,2.5887006026771333
3,0.6935076923517081,1.0187416930272029,0.00094550324,0.5826666729715135,1.3599981968932682
4,0.7227384615091177,0.9378317549191988,0.0009045085,0.6491111129389869,1.1653427981668047
5,0.7412923075896043,0.8838628321134127,0.0008535534,0.5848888902399275,1.3972880465719435
6,0.7611384615017818,0.8269562287697425,0.0007938926,0.5893333310948478,1.46748304271698
7,0.7732000001027034,0.7912365243471586,0.00072699523,0.6215555563535955,1.3083146160708534
8,0.7885538462272057,0.7525926328072181,0.0006545085,0.6295555560390155,1.312923248661889
9,0.7972307691500737,0.718427963924408,0.0005782172,0.6584444420205222,1.180737943649292
10,0.8108923076849718,0.6815576332532443,0.0005,0.7311111080116696,0.9156573317845662
11,0.8199999999853281,0.6571027616134056,0.00042178278,0.7455555520587497,0.8682265121406979
12,0.8289230768790612,0.6269918596634498,0.0003454915,0.7455555529859331,0.8895769373575846
13,0.8372000000586877,0.6055463574042687,0.00027300476,0.7544444427755144,0.8547763403521643
14,0.844523076908405,0.5842571361615108,0.00020610738,0.7808888927035862,0.7630150343577067
15,0.8488000000220078,0.567573657967494,0.0001464466,0.7506666626135509,0.8649507763385773
16,0.8553230768643892,0.551311844774393,9.54915e-05,0.768666670454873,0.8121022349728478
17,0.8596000000880315,0.5401802424284128,5.4496737e-05,0.7735555560323927,0.7993862031300862
18,0.859723076908405,0.534432064298483,2.4471741e-05,0.7684444409211476,0.8228458666536543
19,0.865938461443094,0.5227885696557852,6.15583e-06,0.7744444453981187,0.7984866694344415
20,0.8095692308719341,0.6777328693023095,0.001,0.6591111102369096,1.2568674328724543
21,0.8172923077216515,0.6567331202947176,0.0009938441,0.6851111108726925,1.153279137134552
22,0.8236615384835463,0.641826744556427,0.00097552827,0.6526666677263048,1.2249940036270353
23,0.830338461626493,0.6207408067043011,0.00094550324,0.7082222229904599,1.011593385193083
24,0.8373230770111084,0.6045233926186194,0.0009045085,0.7035555572377311,1.0708147345383963
25,0.8440000000880314,0.5846631381841806,0.0008535534,0.7644444454511007,0.8411453569995032
26,0.8512923077803392,0.5622178483156057,0.0007938926,0.7684444450802274,0.8267658601999283
27,0.8607384614871099,0.5402650950725262,0.00072699523,0.738666665951411,0.9115682521926032
28,0.8652615384101867,0.5213431428872622,0.0006545085,0.7137777760558658,1.119701727297571
29,0.872461538366171,0.5029853302442111,0.0005782172,0.7337777761618296,1.0075848853323195
30,0.8794461537581224,0.48461385470170243,0.0005,0.7795555549727546,0.8156832514603932
31,0.8845230769377488,0.46197255703119133,0.00042178278,0.7493333319028218,0.926599884668986
32,0.8927076923957238,0.44031398075543915,0.0003454915,0.7897777779367235,0.77170112657547
33,0.8980307691720816,0.42473024836320145,0.00027300476,0.7853333294126723,0.8227374913957384
34,0.904492307640956,0.40601559252372155,0.00020610738,0.8128888901074728,0.7382672397825453
35,0.9103999999046326,0.38853570137390725,0.0001464466,0.8028888850212097,0.7387344616651536
36,0.9140923077069796,0.380312612753648,9.54915e-05,0.8088888906902737,0.7276040623982747
37,0.918430769282121,0.36942188115119934,5.4496737e-05,0.7946666672229766,0.7982652025752598
38,0.919907692351708,0.3621410031758822,2.4471741e-05,0.8155555568801032,0.7016674494743347
39,0.9223076923883878,0.3597220030968006,6.15583e-06,0.8106666646003723,0.7254195033311844
40,0.859753846175854,0.5313230742454529,0.001,0.6691111134688059,1.272639740811454
41,0.8631999999926641,0.5265171787261963,0.0009938441,0.7017777787182066,1.131328025672171
42,0.8679384614871098,0.5069350523361793,0.00097552827,0.7004444470670488,1.1231327170795864
43,0.8736923077876751,0.4926248728458698,0.00094550324,0.6953333377838135,1.1120997238821453
44,0.8808615384688744,0.4819617515563965,0.0009045085,0.7842222231229147,0.785551112850507
45,0.8819692307839027,0.4712159361215738,0.0008535534,0.71111111372047,1.2266654590633181
46,0.8895692306738633,0.4542898382443648,0.0007938926,0.7393333354261187,0.9838471561140484
47,0.8915999999046326,0.4452191491493812,0.00072699523,0.79400000111262,0.7613478820853763
48,0.8990461539415213,0.4238871695885291,0.0006545085,0.7260000003443824,1.106850054356787
49,0.9046769230255713,0.41151361331939695,0.0005782172,0.8086666674084133,0.7372890260484484
50,0.9094153845640329,0.38995483802281894,0.0005,0.7911111091772716,0.7930840544435713
51,0.9167076922856844,0.37188922219276427,0.00042178278,0.7779999981986152,0.872374701778094
52,0.922523076901069,0.35332133889198303,0.0003454915,0.7928888890213437,0.8180727869934505
53,0.9283692308132465,0.3381996017566094,0.00027300476,0.8004444488419427,0.8129974238872528
54,0.9371076923150282,0.31693790761507473,0.00020610738,0.8131111150317721,0.7428124025795195
55,0.9398153846960802,0.3063122921980344,0.0001464466,0.8235555550257365,0.724514347102907
56,0.944000000007336,0.29552326932503625,9.54915e-05,0.8204444458749559,0.7484948973655701
57,0.9481538461245024,0.2847859127631554,5.4496737e-05,0.8199999958144294,0.7371677862670687
58,0.9501538460584787,0.279183599956219,2.4471741e-05,0.8317777797381083,0.6991795122490989
59,0.9523999999339764,0.2746658290569599,6.15583e-06,0.8319999986224704,0.7004838269021776
60,0.8834769231356108,0.46371047592163084,0.001,0.6631111099455091,1.4337093767060174
61,0.8859384614504301,0.457243489925678,0.0009938441,0.7580000040266249,0.9484700115786658
62,0.8924615384028508,0.442876176408621,0.00097552827,0.6942222213082844,1.3662708062065971
63,0.8953538461245023,0.43739434788777276,0.00094550324,0.7368888844913907,1.0710562609566583
64,0.9026461538975056,0.41734213146429794,0.0009045085,0.7713333292007446,0.9221417390505473
65,0.9054153845273532,0.41035691220210146,0.0008535534,0.7608888893127441,0.9789383211930592
66,0.9068615384028508,0.40223628423397356,0.0007938926,0.7753333336512248,0.8470550012323591
67,0.9134769231576186,0.38587794503432055,0.00072699523,0.7693333314259847,0.9392091462479697
68,0.9198769230549152,0.3648885298472184,0.0006545085,0.7995555557674832,0.8230451017750634
69,0.924061538373507,0.3526815096635085,0.0005782172,0.776666665898429,0.9383347577253978
70,0.9298461537507864,0.3381900971999535,0.0005,0.8004444449212816,0.7925820857021544
71,0.9363692306738634,0.3160910858190977,0.00042178278,0.8122222178777059,0.7816957202884885
72,0.9419384614797739,0.3016285697240096,0.0003454915,0.8320000051922268,0.7168336437808143
73,0.9503999999339764,0.28179228254831756,0.00027300476,0.7904444442325168,0.8813461968766318
74,0.952707692351708,0.2729283192047706,0.00020610738,0.8006666663487753,0.8515916639963785
75,0.9563999999706562,0.26234496245384215,0.0001464466,0.8451111087799072,0.6738425940672557
76,0.9603692307765668,0.2508737127707555,9.54915e-05,0.8237777829170227,0.7615205892456902
77,0.9649230768570534,0.24042293105492224,5.4496737e-05,0.8326666675673591,0.7168756159941355
78,0.9664615384321946,0.237741905437983,2.4471741e-05,0.8313333325386048,0.7327147803836399
79,0.9665846154579749,0.23393278470956363,6.15583e-06,0.8337777786784701,0.7207591712077459
80,0.8978769231576186,0.42943301393068756,0.001,0.7182222196393543,1.283438124789132
81,0.9011384615164537,0.417647418480653,0.0009938441,0.7033333301941553,1.388850796368387
82,0.9046153847034161,0.40927901955017676,0.00097552827,0.7219999972714318,1.2459203309350544
83,0.9096615385128901,0.39588633057154143,0.00094550324,0.7631111112435659,0.9900460291835996
84,0.9180923076042762,0.3839653278827667,0.0009045085,0.7662222237057156,1.0242836415767669
85,0.9191076922490047,0.37457839429561907,0.0008535534,0.7628888866106669,1.001423487967915
86,0.9225538460951586,0.3634763468045455,0.0007938926,0.80177777422799,0.8083539391888512
87,0.9255076922490046,0.35570981864195605,0.00072699523,0.7808888944519891,0.9345353700584835
88,0.9305538461978619,0.33618913695262026,0.0006545085,0.7995555539131165,0.8332080142233107
89,0.9383999999706562,0.31730890053969163,0.0005782172,0.7722222201824188,1.0235184526708392
90,0.944000000007336,0.30029424273784344,0.0005,0.7875555515289306,0.9151077348921034
91,0.9504307692014254,0.28473155527848465,0.00042178278,0.8002222235997518,0.932146241320504
92,0.955938461611821,0.2673603183709658,0.0003454915,0.8195555580457051,0.7986230763196945
93,0.9598153846227205,0.2561328158745399,0.00027300476,0.8377777745458815,0.7105785618490643
94,0.9662153846887441,0.2426948324551949,0.00020610738,0.837555555873447,0.7262270206610362
95,0.9694153845860408,0.2306952679157257,0.0001464466,0.8357777756055196,0.719750962972641
96,0.9728000000366798,0.22058117431677304,9.54915e-05,0.8295555573039585,0.778993268251419
97,0.9748923076262841,0.21570165522648738,5.4496737e-05,0.8353333328035143,0.7473659091790518
98,0.974830769267449,0.21361038863475507,2.4471741e-05,0.8337777808507284,0.7471760034296248
99,0.9767384616118211,0.21018290074421808,6.15583e-06,0.8351111125946045,0.7360317556593153
100,0.9032923077436594,0.41426661081314087,0.001,0.7202222215599484,1.3629246844185723
101,0.9130769230549152,0.3897511270596431,0.0009938441,0.7662222286595238,0.9856964826848772
102,0.9144000000440158,0.3874970433785365,0.00097552827,0.7026666691833072,1.2939329234229193
103,0.9216923076702999,0.36884492796017576,0.00094550324,0.748222222937478,1.0956036970482932
104,0.9208923077069796,0.37021155756436863,0.0009045085,0.8175555524296231,0.7643763777414958
105,0.9300923077069796,0.34635602548305805,0.0008535534,0.7682222266197205,1.0129011520677142
106,0.9341846154286311,0.3353307987836691,0.0007938926,0.8068888838026259,0.7937146507898967
107,0.9384615384688744,0.32035591809933,0.00072699523,0.8113333355055915,0.825057351536221
108,0.9446153845566969,0.3077101050010094,0.0006545085,0.8020000032318962,0.9259714714686076
109,0.9475076922123249,0.2961506855744582,0.0005782172,0.7888888917234209,1.0024247688982222
110,0.9523384614430941,0.2800201512300051,0.0005,0.8239999976158142,0.7950346144570245
111,0.9587692307032072,0.2623955970250643,0.00042178278,0.8273333320087857,0.7660619397163391
112,0.9627692307032072,0.24807113414544327,0.0003454915,0.8351111066606309,0.7641294269826677
113,0.9703692306665274,0.2317991150049063,0.00027300476,0.8288888903194004,0.7900484180847803
114,0.9724000000366798,0.22422487316865186,0.00020610738,0.8422222169770135,0.7566738234361012
115,0.9755692307765668,0.21406135896169223,0.0001464466,0.8444444459809197,0.7457113395002153
116,0.978584615281912,0.20596200008392335,9.54915e-05,0.8404444422192043,0.7727944793038898
117,0.9813230768570533,0.20046701823748075,5.4496737e-05,0.8457777773009406,0.7370553524891535
118,0.9832000000366797,0.19617068415971903,2.4471741e-05,0.8442222231758966,0.7512722724278768
119,0.983784615281912,0.1933939106922883,6.15583e-06,0.8437777761883206,0.7518007032871247
120,0.904584615443303,0.41918105322030874,0.001,0.7946666616333855,0.8768720147344801
121,0.915261538373507,0.38345067670528704,0.0009938441,0.7415555523501502,1.0835952226453358
122,0.9205846153626075,0.3724720903726724,0.00097552827,0.7244444426430596,1.2685129585663477
123,0.9275384614430942,0.35887816462149985,0.00094550324,0.7217777803209093,1.3965453295707702
124,0.93224615381681,0.3455838544185345,0.0009045085,0.8173333283530341,0.7542593615717358
125,0.9351076922123249,0.3351550069368803,0.0008535534,0.791999997721778,0.9272070089446174
126,0.9410153846227206,0.3188293746177967,0.0007938926,0.7935555552376641,0.9235556107759476
127,0.9451384614357582,0.30749921253277707,0.00072699523,0.8271111135482788,0.7628701286315918
128,0.9489230768570533,0.29616522215696484,0.0006545085,0.8322222279442681,0.772204025334782
129,0.9581846154286311,0.2734698828147008,0.0005782172,0.8346666692627801,0.768216701441341
130,0.9611692306665274,0.2650108060011497,0.0005,0.8302222224871317,0.7764028348922729
131,0.9642153845126812,0.2509953075775733,0.00042178278,0.8313333307902018,0.7891217314932082
132,0.9683999999339764,0.23777177381698902,0.0003454915,0.8355555551846822,0.7834012525346544
133,0.9746461538828336,0.22109438012746666,0.00027300476,0.8439999961323208,0.7391570335759057
134,0.9778461537434504,0.21221472300015964,0.00020610738,0.8411111080911424,0.7530963210397297
135,0.9810769230769231,0.2035336688536864,0.0001464466,0.848444447570377,0.7564972926510705
