Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2	majority_ea_er	minority_ea_er
Baseline	majority_voting	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037	79.58487989	82.76601999
Baseline	weighted_voting	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037	79.58487989	82.76601999
Baseline	averaging	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037	79.58487989	82.76601999
Baseline	weighted_averaging	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037	79.58487989	82.76601999
Simple-ensemble	majority_voting	92.2634247	91.86807215	92.01481481	-1	92.60159756	0.91127572	0.920148148	85.20740741	-1	88.45925926	94	85.68888889	-1	84.62452637	91.28047741
Simple-ensemble	weighted_voting	92.58653163	91.70839478	92.02962963	-1	92.86069987	0.911440329	0.920296296	85.45925926	-1	88.76296296	93.66666667	86.31111111	-1	85.01060841	89.9618226
Simple-ensemble	averaging	92.81986135	92.84706365	92.83703704	99.68148148	92.76349935	0.957592285	0.965822568	86.11851852	81.33333333	89.14074074	93.82222222	86.8	96.58518519	85.55782666	91.74758822
Simple-ensemble	weighted_averaging	92.81708658	92.83699861	92.82962963	99.68148148	92.77094849	0.957594058	0.965824424	86.11851852	81.34444444	89.14074074	93.8	86.81111111	96.58518519	85.55782666	91.74758822
Snapshot	majority_voting	93.71336928	92.7827679	93.12592593	-1	91.88606632	0.923621399	0.931259259	85.57037037	-1	88.4	93.53333333	85.83333333	-1	85.14239539	90.13787833
Snapshot	weighted_voting	93.83024724	92.74051555	93.14074074	-1	91.96675142	0.923786008	0.931407407	85.65925926	-1	88.51851852	93.55555556	86	-1	85.29235886	89.53667659
